group_id	review_text	rating	category
159985130X	We recommend the Magnifier . We are able to read small print and see tiny images printed in ads . The light has been used as a backup flashlight . We gave it four stars because there is no case to protect it .	4.0	health_and_personal_care
159985130X	So convenient and small . I love the LED light ! I have one at work and several at home . Highly recommended !	5.0	health_and_personal_care
159985130X	Thank god for Amazon . I can never find things like this at a shopping center . This thing works great and it was cheap . Highly recommend getting a few to leave around the house .	5.0	health_and_personal_care
159985130X	I just love this little gadget . Sometimes my reading glasses aren 't enough . I keep one in my pantry to read ingredients & expiration dates . I also have one in the stereo cupboard with all the wires and buttons that can 't be read . I love the shape !	5.0	health_and_personal_care
159985130X	This is a great little gadget to have around . We 've already used it to look for splinters and a few other uses . The light is great . It 's a handy size . However , I do wish I 'd bought one with a little higher magnification .	5.0	health_and_personal_care
159985130X	I first bought one for my wife to see menu 's at dark restaurant 's , next thing you know friends are wanting one too . I guess I have now purchased 20 and everyone love 's em . Tried 2 different kinds once , not as good a this one .	5.0	health_and_personal_care
159985130X	it 's a good led magnifier for most purposes. it should have a case , though. how can you protect the lens without some kind of case ?	4.0	health_and_personal_care
159985130X	This is a perfect magnifier to read the small print , or even larger print if the room is too dark . It 's very comfortable to hold for casual use -- I would get something else for reading books .	5.0	health_and_personal_care
159985130X	This has come in really handy in restaurants and for looking up numbers in the phone book . Small , portable , innocuous and invaluabe . Have purchased several to use as gifts . Everyone gets excited when they see it . Some waiters laught and produce ones they keep behind the counter .	5.0	health_and_personal_care
159985130X	This item was perfect for my use I since ordered 6 more in the plum color . Lightweight , easy to carry , use & other folks were very anxious to borrow it to view a menu . So now they each have their own & I have one for myself . : - )	5.0	health_and_personal_care
159985130X	This magnifier works well for text . It 's also very good for looking at small items so if you 're a collector and looking for a decent magnifier -- this one works very well .	5.0	health_and_personal_care
159985130X	This is great for when you might need a magnifier while reading any type of map , menu or any small print in dimly lit situation !	5.0	health_and_personal_care
159985130X	This is a good thing to have around . There is always some fine print or unclear image to use it on . I like the lighting and convenient slide to turn on feature . A nice magnifying device at a good price . I like it .	5.0	health_and_personal_care
159985130X	I ordered two of these pocket magnifiers and am very pleased with their portability . The light projects when you slide it open and allows one to see clearly . It is particularly helpful in dimly lit restaurants whose menus have small , delicate font . I highly recommend this magnifier .	5.0	health_and_personal_care
159985130X	Nice and handy , construction seems solid . I use mostly to examine digital photos while shooting in the filed . I wish it comes with a little pouch or something to protect the lens and maybe a little more magnifying power , 5x vs 3x , that would have been a five stars .	4.0	health_and_personal_care
159985130X	I carry one of these with me all the time at work . With the integral light , it 's great for looking at small print and details on engineered drawings .	5.0	health_and_personal_care
159985130X	I like the light and the magnification . It is lightweight and great for reading menus and fine print.Would have preferred some other colors to give to men friends as gifts .	5.0	health_and_personal_care
159985130X	This is very nice . You pull out on the magnifier when you want the light to come on , then slide it back in . I would recommend buying this if you need something with a light that you can easily put in your pocket or purse .	5.0	health_and_personal_care
159985130X	Simply put , if this magnifier breaks , I will buy the SAME product again ! Works great and is easy to use .	5.0	health_and_personal_care
159985130X	I absolutely love this item . What a way to help see things a lot clear when you need it most.I would recommend these to anyone ! !	5.0	health_and_personal_care
159985130X	Great product to have hand when you need to read something small . It did not have a real wide field of view , but it was a good price .	5.0	health_and_personal_care
