group_id	summ
B000A2FTN6	These are the best tights I've ever worn. They fit well and are comfortable to wear. I wish they were a little bit thicker                                                                               ,but I'm sure they will last a long time.
B0013EQ20Y	I love these boots. They are very comfortable and fit true to size. If you are looking for a good pair of boots                                                                                          ,this is the one for you. I love them.
B001QCZ3E4	This is my second pair of these shoes and I love them. They are true to size and are comfortable to wear. I wear them to work and they are very comfortable.
B002AROW78	My son loved this costume. It was a little big for him                                                                                                                                                   ,but it was perfect for him. He loved it. I would recommend it to anyone who is a Thomas fan.
B0040EIHQQ	This is a beautiful piece of jewelry. I bought it as a gift for my girlfriend and she loved it. It's a little smaller than I thought it would be but it's perfect.
B004X86A86	I love this purse! It is a bit smaller than I thought it would be                                                                                                                                        ,but I love it! It's a perfect size for me.
B005085X5Y	This is a great hat for the price. It is a bit bulky                                                                                                                                                     ,but it does the job. I've had it for a few months now and it has held up well.
B0052PKEYK	It's a nice suit                                                                                                                                                                                         ,but the sizing is too small. I ordered a size up and it was too tight around the waist. I had to return it.
B005BQ6YYO	I love the look of these shoes. They fit true to size and are very comfortable to walk in. I would recommend them to anyone looking for a good pair of shoes.
B005DO7R3G	This is my second pair of Dansko clogs and I love them. They are very comfortable and I can wear them all day without any discomfort. I would recommend them to anyone looking for a comfortable sandal.
B006QM4HOG	This is a great bag for the price. It is a bit smaller than I thought it would be                                                                                                                        ,but it's perfect for my needs. I can't wait to use it on my trip.
B006UF64CW	I love these sandals. They are very comfortable and I can wear them all day without any discomfort. I wear them to work and they are comfortable to wear.
B007I8G8A8	This is a great pair of shorts for the price. They fit well and are comfortable to wear. The only problem I have is that they are a bit tight around the waist.
B009L0KU46	I love these shoes. They are light weight and comfortable to wear. I have worn them for several months now and they are holding up well. I would recommend them to anyone looking for a comfortable shoe.
B00AZ6WVQU	I love this tank. It fits well and is comfortable to wear. I wish it was a little bit longer                                                                                                             ,but I'm sure it will shrink after washing.
B000BYGGBW	It's a great product. I have had no problems with it and the price is right. I've been using it for a few months now and no problems. I would recommend this product.
