cat	prod_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3
cloth	B000A2FTN6	These are the perfect tights for my 5-year old. The tights are very well made and have already lasted several washings (hang dry). The color is beautiful, and my daughter loves that she can wear flip-flops to class like the big girls do.	my 3 year old fit into these perfectly. I love these tights, they are great for wearing sandals to dance class and then pulling them over her toes to put ballet slippers on. They are nice and soft and the pink color is pretty. Will purchase again.	These are my daughters preferred ballet tights. They fit well and don't squish her toes as much as some others. The convertible option is nice as she can wear flip flops to the studio with her tights. I like that they appear to be fairly durable.	Bought this for my little one to use for her ballet class. She's almost 4 and this fits perfectly. Transition tights give her the ability to pull up the foot area to around the ankles so that they don't get dirty when not wearing her shoes, but fit well and stay in place when pulled over her feet and used with ballet shoes on.	Great soft fabric, runs small a though. U should consider getting one size up to avoid having your daughter, or son if he's into ballet, have little circulation. Don't get me wrong, great product and material.	I purchased these tights for my 4 year old because she has a tap class immediately followed by an acro class. Tights fit well and were easy to transition to bare feet after tap. I can't comment on how they hold up, as we only had one week of dance so far.	This is my go to tight when my daughter needs new ones. I won't buy anything else. They are super comfy and last forever! She is 7 but very slim and these will fit her for a while but the 8-12 is a better fit for longevity purposes but they only had this size left and I needed them right away.	These are great tights. If your girl is chubby on the waist i think you should order a number up. they are a strong tihgts. My daugther has it for more than 4 months and hasn't broken them. She only complains some days about the waist, just when she has had a lot of milk or food recently. she's 3 years old.	These tights are great. They are durable and do not tear easily, they can be worn and washed without worry. The bottoms of can be pulled up easily so that sandals can be worn with them. It might be a good idea to order a size bigger because they can be a little tight in the waist. Overall, these tights are definitely recommended.	These transition tights are perfect for children sensitive to the tight sensation other tights have around the foot.  The material is soft and durable; they stand up well to both the rough nature of children, and the washing machine.  This product does tend to run slightly small, so purchasing one size up is recommended.	Bought these for my 3 year old daughter for her classes and they turned out great and fit perfectly. She can pull them up to walk in then pull down to cover her toes for class. Strong tights that should last. You might need to buy a size up just for comfort around the waist.
cloth	B0013EQ20Y	i really like these boots. they can be a beast to get on, like any boot fit to last; once on, they are incredibly comfortable. I have had them for 4 years and they still look great - worn in but not worn out...	What great boots! They do take some breaking in - like all real leather does. Run maybe a tad small in the general spectrum, but hey, remember the break in period. Look fabulous, will last me for the next twenty years.... They bridge the fashion vs. function quandary beautifully.	Every woman needs a pair of these Frye boots! Fit is true to normal size. I wear a standard 9. These fit in the shaft for any ladies who have bigger calves as I do. You have to fight to get them on first few times and they wear stiff until fully broken in. Worth the money and break in time.	Boots excellent quality, beautiful skin, a modern model. But! they are very narrow! This is the second pair of shoes is a brand and my 8.5 size fits me perfectly, even he little more than usual. But these are very narrow! go to a cobbler, let him try to stretch. Be careful!	bought these for the wife to have something to kick around in and keep up with the kids, but she doesn't like them. Her heel lifts with every step, and they're stiff and heavy. Not an everyday casual shoe.	Don't get me wrong, they're really good boots, but they used to make them better. My last pair from a few years ago were much higher quality. Thicker sole, better full grain leather, now they only make the black in 'grease', which stains all my socks black. Keeping them, but still disappointed in Frye.	i bought it just for the heavy snow cuz my UGG got wet through.even though it is a little expensive, but the boots are nice and it was shipped to me for only two days.!!!!!! i love it	They were comfortable the moment I put them on. The sizes are exact. The color the way they are made are what I expect from Frye which I've been wearing since the 70's. With a 20year break from not wearing Frye it was a pleasant surprise the quality has stood the test of time.	Nice boots but run a bit narrow. They look great but I think the quality has come down over the years. Still comfortable but I wish they broke in easier. I recommend these for any lady who is patient and looking for comfort.	These boots run fairly true-to-size, but they aren't super easy to get on at first. They're comfortable, but a short break-in period is needed, at least in my experience. They look great on and they're very durable, but they are not the lightest boots you can wear. As long as you aren't expecting feather light footwear, this shouldn't be a problem. They are a nice blend of function and fashion and that's not always easy to find in boots.	These boots are great, excellent quality, incredibly comfortable and the sizes are exact. It's a little expensive, but will last me for about twenty years. The shipping was fast, two days. I love it.
cloth	B001QCZ3E4	This shoe is very classy and chic. The colour is rich and goes very well with almost any navy blue outfit. However, it fit me a bit snug to the front probably because my feet are a bit broader. And you do have to order the size a 1 / 2 inch bigger than you normally wear.	this shoe was picked by the 'bride to be' for her upcoming wedding this weekend. The other bridesmaids paid over $80.00 in a dept. store. I found my daughter 'bridesmaid' the exact same shoe for much less. The quality is the same. the brand is the same, the look is the same and it fits perfectly.	I love the look of these shoes and they will forever be special to me as I wore them at my wedding. Had a few cosmos right after our ceremony so did not notice any comfort issues throughout the night, but the next morning my feet felt like they had been pinched around the toe area.	These are VERY nice shoes and so pretty, but there is a rim inside the top of the shoes by my toes that rub them and could cause a blister or sore, so even though they are great to look at they are not that comfortable.	These shoes run 0.5 size small, I had to exchange and pay for return shipping. Order 0.5 size larger than you usually wear, and they won't hurt or give you blisters even around the toe. Remember - this is not natural leather, so don't hope to break in them. If you pick right size, they are very comfortable and cute.	I bought these in navy to wear in my sisters wedding. They matched my navy satin dress perfectly and were super comfortable. I wore these shoes longer than I have worn any heels. The lower heel gave me just enough height, but not to much to make me unsteady. Looking forward to wearing them again and again!	These shoes run appropriate to size (I'm a size 9), but I felt like they pinched my toes as I have a wider foot. The shorter heel is nice so you don't have to worry about tripping- but I sent them back as I didn't find them comfortable.	Great Fast Amazon shipping, and the show itself is a really nice bright yellow, perfect for that pop of color I was looking for. I'm five months pregnant and needed a comfortable shoe for a wedding and these completely fit the bill. I would buy again.	Very pretty shoes and nice quality. The shoes run a bit small, about half a size and there is a ridge in the shoe that rubs on your toe. Nice formal night shoe, not so much for every day.	Great fast amazon shipping. This shoe is very chic, classic and with a rich color that blends with almost any navy blue colored outfit. I love the look of the shoes and would be forever special to me. There is a rim inside the topmost part of the shoes that could cause blister to my toes.	These shoes are best fit and nice looking for parties or specially for wedding functions. The toe of the show can be a challenge for some feet and may make the feet sore due to the rim to keep the shape perfect. Overall price wise and looks are great and would recommend for long term use.
cloth	B002AROW78	My son is 3 and this fits him perfectly. He'll probably be able to wear it for the next two years if he'd like. It's cute too. The hat is thin, but completes the outfit. And the candy pocket is huge. Perfect! I'm so glad we bought this costume over any other Thomas costume.	I ordered this for my 3 yr old for Halloween. He loved it!! The candy catcher in the front is really neat, but probably need to take a pail or something else along also because it can get to be heavy if they get a lot of candy. I was very pleased with the way it fit and everything.	Received from Toynk Toys and was very disappointed when I opened the pkg...... very flimsy felt fabric. No 3D sculpted face that I expected. I became creative and added huge googly eyes, pumpkin patch, spiders, bats, and train tracks to the outfit to make it a bit more suitable for my taste.	This is a cute costume that we got for my lil cousin and the candy pouch is basically the size of the entire costume so that's p cool. I doubt it would fit up to six years old like it's advertised as, but it's the perfect size for him (age 2)	My son looked sooooo cute with this costume on. It was well worth the price in my opinion because, his face light up when he seen it in the package. The whole night he kept saying to the doors he got candy from 'me the train, chuchu!!'	I ordered this costume online and it was perfect for my 20 month old son's second Halloween. It was comfortable and he loved the pocket. The size was perfect because it didn't need to be a particular fit. He loved the hat too. Every house we went to trick or treat complimented the outfit too.	My 2 year old loved this costume. He went on the Halloween parade at school and everyone said it was very creative that he has his own candy pouch as part of his costume. He also went around the neighborhood and was pretty popular with his Thomas the train look.	I was pleasantly surprised at how cute this costume is in person. My 3 year old son LOVED being Thomas for Halloween, and the candy catcher was a great feature. It also looks like it will grow with him, so we may use it again for Halloween next year if he's still Thomas-obsessed!	What an impressive Thomas the Train costume! It will fit any train loving toddler for at least a few Halloween seasons due to its roomy design. The candy pocket on the front is an adorable touch. And it's so stinkin' cute! Absolutely worth the price.	This Thomas costume is really cute plus it is comfortable and fits well. My child liked that it has a pocket and a hat. It even has a candy catcher. This costume fits well for a two or three year old. The hat is thin but it is completes the costume. My child loved being Thomas.	This Thomas the Tank Engine Halloween costume looks very cute, and fits well for children around two to five years old. It comes with a large, built-in pouch for hands-free candy hauling. The only potential issue is the fabric seems a bit thin and flimsy. Nonetheless, I would recommend this.
cloth	B0040EIHQQ	This pendant is so unique!! The design is beautiful and the bail is a ring instead of the typical bail which gives it a nice touch!! All the corners are smooth and my daughter loves it - looks great on her.I cannot say anything about the chain because used our own chain.:) Satisfied.	It look perfect in a womens neck!! great gift, I thought for the price it was going to look cheap, but I was far wrong. It look great.Spect great reward from your woman when you give this to her; D	The prettiest sterling silver piece I own now. I get so many compliments on this necklace. I bought it for myself from my hubby for Valentine's Day. Why not? When people ask where I got it, I simply say from my loving hubby. And he is off the hook as to what to get me. win + win.	I love hearts and I love 'love':) I do not have any negative feedback, the necklace is perfect and the charm is perfect. I just thought it would have been slightly bigger. Overall, I love my new heart necklace.	When I received the package, I was surprised and amazed because the necklace is so elegant, beautiful and the same as the picture shown here. I really love this necklace. It has a unique pendant designed. I will recommend it to someone to order it now...	Item is nice. Not a great quality item, but right for the price. Charm was larger than I expected (I expected small and elegant, but it was large and almost costume jewelry like). I think it is a good necklace, just not what I expected.	I got this as a present for my GF on Valintines day. She loves it and wears it every day! Its not cheap looking and it hasn't broken yet. The chain hasn't broken either even though it is very thin. Strongly recomend it!	Over all service has been great the only problem, I ordered a purple Mickey Mouse case for iPhone 4S they sent a black, n I felt it was to much trouble n such a small item to send back so needless to say its put back in a drawer somewhere	The necklace is very unique and a great quality for the price.  The charm isn't exactly what is pictured as far as size goes but still very beautiful.  The chain is a bit thin but seems to have good durability. Overall I would recommend this to anyone looking to add a beautiful piece to their jewelry collection.	This necklace is beautiful and well-made for the price. Even though the chain is thin it hasn't broken. The pendant is really nice, but it is hard to tell the size from the photos. It would look great around the neck of any woman you get it for!	This necklace is a beautiful and unique piece to add to your own or a loved one's jewlery collection. The pendant is unique and the bail is a ring making this sterling silver necklace an elegant looking piece. It has a very strong chain also so it can be shown off and enjoyed for a long time.
cloth	B004X86A86	I chose it because it's a beautiful purse, but too many straps (4) they come off, but then the connecter is still visible. I had to return it, I couldn't even see a way to have my leather person doctor it up without ruining the beauty of it.	I hate this bag! It's horrible, it's the worst bag I've ever got! It broke the first day I got it and didn't even carry it! It's definitely not the size I thought it was!	I like the purse, but you definitely can't carry it often because the stones fall off a lot. Its a decent size snd the material is a decent quality. I would love the purse if the stones didn't fall off.	Love this! pretty size: not to big? not to small, color and shape! and very flashy. Everyone loves it! all the stones were on it when it arrived at my house and only one fell off as i was trying it out!	I have had this purse less than a month and now ALL 3 straps BROKE!!!! Worst quality ever!!!!! Had to throw it away!! 40 $(after shipping) down the toilet!!	i bought this purse and was worried it wouldnt come as it said in the ad. when it arrived at my home i was more than extatic when i saw how nice it was. i am actually very impressed by this purse, and reccomend it to any one looking to spice up there out fit. looks great with boots and leggings!	I was all about this bag and then when ups brought it I was not to happy, the bag is way to small the straps are to short and one of the straps was broken.so I will b e returning or give it to my daughter to play with.	The bag is A LOT smaller than it appears, i though i could fit my school books in it but i definitely cannot. However it's a really cute bag and i will still get a lot of use out of it.	This purse is well-designed in terms of appearance, but not in terms of usability and reliability. It is smaller than advertised, the straps are flimsy, and the decorations fall off very easily. It works well if you're just looking for a fashion statement, but if you want something practical, I'd look elsewhere.	Purse looks great. The bag is cute and flashy but the size is smaller than expected overall. The stones and straps are not very durable and break or fall off easily.	This purse is pretty and the material looks great! Unfortunately, it is smaller than I hoped and a few of the straps have fallen off. So have a couple of the stones. I wish it had stayed together because I would have loved to use it more.
cloth	B005085X5Y	I looked at a few sizing charts and they said that 'one size fits all' will fit a head with a circumference of 21 1 / 2 '- 22 1 / 4'. My head is 21 3 / 4 'and this hat sat on the top of my ears! I have returned it.	Loved the stitching design, got a lot of compliements on it. The best part is you can roll it up and pack in your suitcase for travel and it unfolds beautifully. Provides the right amount of coverage and stayed on my head in windy conditions.	I needed something for my cruise to Hawaii. I ordered this atthe last moment, but Amazon came through and I receivedit the day before I left. I love the look, the feel, the factthat I can fold it and stick it in my suitcase and, best of all, I received compliments on it.	I spent 2 months at the beach this summer and this hat was great. It kept my head cool even in nearly 100 degree weather and also kept my face protected. I have a fairly large head and had no problem with the one size fits all.	I wear a hat anytime I am outside for any length of time. This hat is cute and provides great sun protection. I have a hat for hiking and a hat for the beach, but this is for more dressy occasions like an outdoor birthday party or a trip to Butterfly World with my granddaughter.	Good quality hat, I love that I can be protected from the sun, and look good too! I'd also like to commend customer service, which was responsive and helpful when I accidentally shipped my order to the wrong address. I have already ordered another hat for my daughter.	I bought two of these hats to keep on our son's boat. They are pretty stylish but most importantly does protect my hair and face from the sun. Love the UPF protection. The only nominally downside is it is difficult to stay on when the boat is going fast. I think for wear at the beach or just outside it is a great purchase.	It looks good; it's comfortable; it keeps the sun off my face & neck. I wear it while gardening or for walks. I got it in the Moss Green and the color is as shown online. I'm glad I bought it.	The hat is comfortable, stylish and easy to pack into a suitcase for travel. It protects well from the sun, keeps the head cool, and is suitable for both boat trips and more dressy occasions. Sizing is 'one size fits all' which seems to be good on even large heads. The customer service was great, ensuring the product arrived on time before travelling.	This is a really cute hat that even folds well for easy packing. It is large enough to protect my face and my hair from the sun with UV protection. I received many compliments on this hat. It fits well on stays on nicely at the beach and it made me fee so much cooler on a hot day.	This hat looks great and does the job! The one siz fits all really does fit and the stitching design looks great while protecting your head and neck from the sun's UV rays. It also can be rolled up and packed without messing up the hat as it unrolls and still looks great! Just make sure you hang on to it if your on a boat so it doesn't blow off your head! This is definitely a product you wont want to lose!
cloth	B0052PKEYK	Although the quality of construction seems adequate, the sizing isn't accurate. I ordered a size 34 which is the size I normally wear and the suit not only pinches around my legs but also is almost uncomfortably tight around the waist.	The suit seemed ok in quality however it was the wrong size. It is always a gamble buying online even following the sizing chart. I did return it and got a refund but Amazon failed to fight for the sale and make it right. I went to a local store and purchased what I liked.	Fits well and has a nice draw string to keep them tight. I bought a size small so that I would not have to worry about them falling off but I should have bought my correct size as they fit true to size.	The only reason for the 1-star reduction, is the seams around the legs are pretty stiff and tight. However, the seams appear to be loosening up a bit though with use. I typically wear a size 32 but had to get a 34 for this suit.	The size on the waist was correct, but if you have large thighs like I do, or should I say muscular thighs, it will be a tight fit. It is very tight to get past my thighs, then it wasn't so bad. The waist was a 38, no problem there. It will be a tight fit on most guys.	I got this swimsuit a month ago. I swim 5 days a week for about an hour and 15 min. I washed the suit after every practice. It tookabout 2 weeks for a fabric to loose all elasticity. After two more weeks the suit basically fell apart. Avoid!	I wear a 32 and I read some of the reviews and yes it does have a nice feel and fit but does run small with that being said I ordered a 34 and it was a nice fit and feel but I think a 36 would have been a better fut	I haven't swam in it much yet but fit is good. I bought two different styles. Both were speedos. I am not a swimmer so this is a first purchase of speedos. Training for my 3rd marathon and wanted to add swimming as part of my workout.	The suit fits ok on me, it is good around the waist but tight in the legs/thighs. I will probably return this and move up a size, it's easier to use the drawstring on the waist than deal with a swimsuit strangling my thighs. Consider a larger size than normal if you have large thighs.	This suit is a good fit for me. It may fit tight on guys with large thighs. I like the feel of this suit and the style is good for anyone swimming as a workout or doing any real training. It may run a bit small though it does seem to stretch at the seams with use and wear.	The suit tends to run a bit small as the fitting in the waist was adequate but it was tight in the thighs. After heavy use the seams tend to loosen up and even loose the elasticity over time. Overall it's a nice suit, has a nice feel, and is nicely constructed.
cloth	B005BQ6YYO	Fit as expected. Have trouble with my feet: neuromas, plantar fasciitis, and bunion. Looking for comfortable cushioned for quick trips to run errands without putting on sneakers and sneakers. These work great for me but not for all day use.	The shoe is so comfortable and I bought another 'walking' shoe by Ahnu which is perfect too.Needed a cute and comfy shoe to do lots of walking in Europe this Spring. These will fit the bill.I found this style was a little big so I had to get a half size smaller and it is great.LO	Reviews said to buy a size smaller. I wear a 7 so ordered the 6.5. It was still too big, and I'm guessing a 6 would fit. I bought the Ahnu sandal at 6.5 and it fit perfectly. I plan to reorder the shoe but in a size 6.	I always take a 7 or 7.5, in fact own a pair of flipflops from this brand in a 7, decided to order 7.5 and it fits more like a 8.5 or even a 9. Way too large. Am returning & hope to replace with a smaller size.	I would recommend these shoes to anyone looking for a very comfortable walking shoe with some style. I can wear these instead of sneakers for less casual events. The shoes run big. I normally wear a 7 1 / 2, but ended up with the 7 which fit just right.	I ordered these shoes in a half size smaller than my regular size due to reviews that I read, but they were still too small. They were pretty shoes, so was very disappointed. The company was very good about refunding my money very quickly.	I don't believe these shoes will fit anyone who wears a narrow. If I order my true size, they're too short and my toes hit the front of the shoe yet if I order the next size up they're too wide yet my toes still hit in the same place. Both pairs went back -- bummer!	I am in and out of areas where the footing can be slippery. I wanted a cute but totally functional shoe and this is it. Incredibly lightweight! I bet I could run in these. Great all around casual working shoe.	"This is the perfect ""comfy shoe,"" great for walking around town or casual get togethers. Cute and functional!  They do run a bit big, plan to order them 1/2-1 size smaller than usual. Another very comfortable shoe by Ahnu, would definitely buy again!"	These shoes are lightweight, comfortable, have plenty of support, and are slip resistant. They're great for walking and working, and they look quite nice as well. The only issue is that their size measurements seem inaccurate. You may end up needing to get a size that is either smaller or larger than what you normally get.	Nice, lightweight, comfortable shoes for casual use like walking- if they fit you well. Sizing is confusing, tends to run large and not fit well on wider feet. Expect to need 1/2 size to 1 full size smaller than your normal shoe size.  Try these on in person if possible!
cloth	B005DO7R3G	I usually wear size 37, but found a 38 feels better in this sandal. I absolutely love this sandal. So supportive and comfortable, although at first I did get a blister on my big toe. Do not let this be the deciding factor. It stretched out and is now fabulous. I love it so much that I bought it in three colors.	This is a really cute shoe that feels very comfortable on my high arches. The strap on the instep fits my feet very well, but I have very slim feet. I can see how it would be uncomfortably tight on anyone with more padding on their feet.	I love these sandals. The fit is perfect for my foot, with perfect arch support. I don't think the leather is cheap, and the sandals are very comfortable to walk in. They are very pretty, and pair very well with pants and dresses.	My wife is a nurse and wears dansko shoes. We were excited to try the new crimson sandal and normally order 39 sandal and 40 closed toe. Some other reviews were right about a narrow width and tight toe box. We gave them a try and passed a great pair of shoes to our daughter with her long narrow feet, and she loves them...	Finally, a Dansko sandal that's fashion forward! It was love at first sight! This is my 4th Dansko purchase. Their sizing, quality and comfort is very consistent. I love the stying of this sandal and I'm pleased they are offering bolder colors. Another feature I love is the Dri-Lex topsole - it's soft and keeps feet dry.	I really love these sandals. my only issue is after wearing them for a while my feet started to swell as I have a high instep and they were a little tight across the top. I'm sure they will stretch a bit after a few wears	I have several pairs of Dansko clogs that are all size 39 and fit perfectly. So I felt confident when I ordered the Tasha Sandal in size 39. I don't know if a 40 would be too large but the 39 seems a little small. Otherwise, I love them. They are very cushiony and comfortable!	I own many Dansko shoes and these are among my favorites. They have ALL the support that Dansko offers in its shoes plus they are very attractive. I love the the heel height and instant comfort. They look great with slacks and dresses, dressed up or not...	I love these sandals, Dansko has made a really great product! I had to return my first pair (39) for being a bit tight and small, but I went a size higher (40) and it is perfect, they are so comfortable! If they do stretch out like other reviews say, they will still fit and look great.	I love these Dansko Tasha sandals! They are comfortable and the style is really cute. The only warning I have is that they seem to run narrow: you may want to buy a larger size if you have wide feet. Also, they seem to stretch as you wear them, so don't get discouraged by a few blisters on first wearing.	These Dansko shoes are amazingly comfortable and hug the shape of my feet well, but I did have to wear them for a bit to stretch them out. They felt a little tight at first, but now they are perfect. I feel they're true to size so I'd recommend ordering these in your normal shoe size.
